# UVow
*a \u0391
u(/ \u1F55
w(/ \u1F65
# UVowRoughGrave
*(\a \u1F0B
*(\e \u1F1B
*(\h \u1F2B
*(\i \u1F3B
*(\o \u1F4B
*(\u \u1F5B
*(\w \u1F6B
# LVowRoughGrave
a(\ \u1F03
e(\ \u1F13
h(\ \u1F23
i(\ \u1F33
o(\ \u1F43
u(\ \u1F53
w(\ \u1F63
# UVowRoughCircu
*(=a \u1F0F
*(=h \u1F2F
*(=i \u1F3F
*(=u \u1F5F
*(=w \u1F6F
# LVowRoughCircu
a(= \u1F07
h(= \u1F27
i(= \u1F37
u(= \u1F57
w(= \u1F67
# VowSmootIoSub
*)|a \u1F88
*)|h \u1F98
*)|w \u1FA8
a)| \u1F80
h)| \u1F90
w)| \u1FA0
# VowRoughIoSub
*(|a \u1F89
*(|h \u1F99
*(|w \u1FA9
a(| \u1F81
h(| \u1F91
w(| \u1FA1
# LVowAcuteIoSub
a/| \u1FB4
h/| \u1FC4
w/| \u1FF4
# LVowGraveIoSub
a\| \u1FB2
h\| \u1FC2
w\| \u1FF2
# LVowCircuIoSub
a=| \u1FB7
h=| \u1FC7
w=| \u1FF7
# VowSmootAcuteIoSub
*)/|a \u1F8C
*)/|h \u1F9C
*)/|w \u1FAC
a)/| \u1F84
h)/| \u1F94
w)/| \u1FA4
# VowSmootGraveIoSub
*)\|a \u1F8A
*)\|h \u1F9A
*)\|w \u1FAA
a)\| \u1F82
h)\| \u1F92
w)\| \u1FA2
# VowSmootGrave
*)\h \u1F2A
# VowSmootCircuIoSub
*)=|a \u1F8E
*)=|h \u1F9E
*)=|w \u1FAE
a)=| \u1F86
h)=| \u1F96
w)=| \u1FA6
# VowRoughAcuteIoSub
*(/|a \u1F8D
*(/|h \u1F9D
*(/|w \u1FAD
a(/| \u1F85
h(/| \u1F95
w(/| \u1FA5
# VowRoughGraveIoSub
*(\|a \u1F8B
*(\|h \u1F9B
*(\|w \u1FAB
a(\| \u1F83
h(\| \u1F93
w(\| \u1FA3
# VowRoughCircuIoSub
*(=|a \u1F8F
*(=|h \u1F9F
*(=|w \u1FAF
a(=| \u1F87
h(=| \u1F97
w(=| \u1FA7
# Cons
*b \u0392
*g \u0393
*d \u0394
*z \u0396
*q \u0398
*k \u039A
*l \u039B
*m \u039C
*n \u039D
*c \u039E
*p \u03A0
*r \u03A1
*s \u03A3
*t \u03A4
*f \u03A6
*x \u03A7
*y \u03A8
b \u03B2
g \u03B3
d \u03B4
z \u03B6
q \u03B8
k \u03BA
l \u03BB
m \u03BC
n \u03BD
c \u03BE
p \u03C0
r \u03C1
r( \u1FE5
r) \u1FE4
s \u03C3
s1 \u03C3
s) \u03C2)
s] \u03C2]
s"3 \u03C2'
s[1 \u03C2)
s2 \u03C2
s, \u03C2,
s. \u03C2.
s: \u03C2\u0387
s%10 \u03C2 :
%10 :
s; \u03C2\u037E
s \u03C2\u0020
t \u03C4
f \u03C6
x \u03C7
y \u03C8
; \u037E
: \u0387
+ \u2020
#- \u2019
# URoughR
*(r \u1FEC
# LRoughR
(r \u1FE5
# LSmootR
)r \u1FE4
# Apostrophe
' \u2019
" &quot;
"3 &apos;
[1 (
]1 )
[2 &lt;
]2 &gt;
< &lt;
> &gt;
@ \u0009
# \u0374
#2 \u03DF
